|       |     F10A3 |     F10A5 |     F10B3 |     F10B5 |     F10C1 |     F10C3 |     F10C4 |     F10D1 |     F10D5 |     F10E3 |     F10E5 |     F10F1 |     F10F3 |     F10F5 |     F10G2 |     F11A3 |     F11A6 |     F11B1 |     F11B2 |     F11B5 |     F11C2 |     F11D1 |     F11D2 |     F11D4 |     F11G3 |     F11G4 |     F12B1 |     F12B2 |     F12B3 |     F12C6 |     F12D4 |     F12E1 |     F12E4 |     F12E5 |     F12E6 |     F12F1 |     F12F5 |     F12G1 |     F15A3 |     F15A5 |     F15A6 |     F15B5 |     F15C5 |     F15C6 |     F15C8 |     F15D1 |     F15D2 |     F15E1 |     F15E2 |     F15E4 |     F15E5 |     F15E7 |     F15F1 |     F15F3 |     F15F5 |     F15F6 |     F15F8 |     F15H1 |     F15H5 |     F16A2 |     F16A4 |     F16A5 |     F16B1 |     F16B2 |     F16B3 |     F16B6 |     F16C1 |     F16D6 |     F16F4 |     F16G3 |     F16G4 |     F16G6 |     F17A7 |     F17B1 |     F17B7 |     F17C1 |     F17C2 |     F17C7 |     F17D6 |     F17E6 |     F17E7 |     F17F3 |     F17F5 |     F17G3 |     F17G5 |     F18B2 |     F18B4 |     F18C4 |     F18D2 |     F18E1 |     F18E2 |     F18F2 |      F3F1 |      F5A2 |      F5A4 |      F5B1 |      F5B2 |      F5B3 |      F5B4 |      F5C1 |      F5C2 |      F5C4 |      F5D1 |      F5E2 |      F5E4 |      F5F2 |      F5G2 |      F6A4 |      F6B2 |      F6B4 |      F6C2 |      F6C4 |      F6D2 |      F6E2 |      F6E4 |      F6F2 |      F6F4 |      F6G2 |      F6G3 |      F7A3 |      F7A6 |      F7B1 |      F7B2 |      F7B4 |      F7B5 |      F7B6 |      F7C1 |      F7C2 |      F7C6 |      F7D2 |      F7D3 |      F7D4 |      F7D6 |      F7E2 |      F7E6 |      F7F2 |      F7F3 |      F7F6 |      F7G2 |      F7G5 |      F8A1 |      F8A2 |      F8B2 |      F8B4 |      F8B5 |      F8C5 |      F8D3 |      F8D4 |      F8E6 |      F8G1 |      F8G2 |      F9A2 |      F9A3 |      F9A4 |      F9A5 |      F9B4 |      F9B6 |      F9C5 |      F9D3 |      F9D6 |      F9F2 |      F9F3 |      F9G3 |
| F15C6 | 0.0681818 | 0         | 0         | 0.0746269 | 0         | 0.0634921 | 0         | 0         | 0         | 0         | 0.0666667 | 0.0892857 | 0         | 0         | 0.0714286 | 0.0689655 | 0         | 0         | 0         | 0         | 0.0461538 | 0.0512821 | 0         | 0         | 0.09375   | 0         | 0         | 0         | 0         | 0         | 0         | 0.0350877 | 0         | 0         | 0         | 0         | 0.0740741 | 0         | 0.2       | 0         | 0.2       | 0         | 0         | 1         | 0.0909091 | 0.1       | 0.121212  | 0.0869565 | 0         | 0         | 0         | 0.0789474 | 0         | 0         | 0         | 0.2       | 0         | 0         | 0         | 0         | 0         | 0.0980392 | 0         | 0.133333  | 0.0909091 | 0         | 0         | 0         | 0         | 0         | 0.0625    | 0         | 0.105263  | 0         | 0.0909091 | 0.0714286 | 0.0909091 | 0         | 0         | 0         | 0.2       | 0         | 0.15      | 0         | 0.1875    | 0         | 0         | 0         | 0.1       | 0.0526316 | 0         | 0         | 0.0491803 | 0         | 0         | 0.1       | 0.117647  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0793651 | 0         | 0         | 0         | 0.142857  | 0         | 0.153846  | 0         | 0.0555556 | 0         | 0         | 0         | 0         | 0.0689655 | 0.0769231 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0571429 | 0         | 0         | 0         | 0.105263  | 0         | 0.125     | 0         | 0.0980392 | 0.0769231 | 0.097561  | 0         | 0.0909091 | 0         | 0.125     | 0         | 0         | 0         | 0         | 0         | 0.0952381 | 0         | 0         | 0         | 0.0238095 | 0         | 0.0526316 |
| F15C8 | 0.196078  | 0         | 0.0526316 | 0.246377  | 0         | 0.208955  | 0.115385  | 0.148936  | 0         | 0         | 0.238095  | 0.293103  | 0.125     | 0.166667  | 0.204082  | 0.245902  | 0         | 0.0606061 | 0.214286  | 0         | 0.205882  | 0.309524  | 0.0344828 | 0         | 0.225     | 0         | 0         | 0.0526316 | 0.0769231 | 0.0740741 | 0         | 0.196721  | 0.125     | 0.037037  | 0.16      | 0         | 0.2       | 0.0909091 | 0         | 0         | 0.222222  | 0         | 0.0882353 | 0.0909091 | 1         | 0.288889  | 0.186047  | 0.181818  | 0.047619  | 0.0434783 | 0.030303  | 0.195652  | 0.0526316 | 0.0526316 | 0.0789474 | 0         | 0.0434783 | 0.037037  | 0.107143  | 0         | 0.0416667 | 0.272727  | 0.190476  | 0.263158  | 0.04      | 0.151515  | 0         | 0.0833333 | 0         | 0         | 0.0333333 | 0.142857  | 0.206897  | 0.0606061 | 0.130435  | 0.189189  | 0.0833333 | 0.142857  | 0         | 0         | 0         | 0.0357143 | 0.275862  | 0.15625   | 0.222222  | 0.111111  | 0.0645161 | 0.0909091 | 0.0416667 | 0.0967742 | 0.0909091 | 0         | 0.238095  | 0.0833333 | 0.037037  | 0.169492  | 0.209302  | 0.037037  | 0.12      | 0.04      | 0         | 0         | 0         | 0         | 0.0384615 | 0.0416667 | 0.0869565 | 0.223881  | 0         | 0.05      | 0.0416667 | 0.151515  | 0         | 0.157895  | 0.206897  | 0.0645161 | 0         | 0         | 0.105263  | 0         | 0.288136  | 0.217391  | 0         | 0.166667  | 0.05      | 0.153846  | 0         | 0         | 0         | 0         | 0         | 0.153846  | 0         | 0         | 0         | 0         | 0.222222  | 0         | 0         | 0.0454545 | 0.09375   | 0         | 0.0454545 | 0         | 0.25      | 0.217391  | 0.204082  | 0         | 0.0833333 | 0.0416667 | 0.0454545 | 0         | 0         | 0         | 0.0357143 | 0         | 0.0277778 | 0.133333  | 0.0769231 | 0.0769231 | 0.266667  | 0.125     | 0.0625    |
| F15D1 | 0.396552  | 0.025641  | 0.025641  | 0.514286  | 0.025641  | 0.442857  | 0.113636  | 0.121212  | 0.025641  | 0         | 0.555556  | 0.507937  | 0         | 0.0212766 | 0.338983  | 0.5       | 0.0454545 | 0.0377358 | 0.08      | 0         | 0.378378  | 0.363636  | 0.190476  | 0.145455  | 0.326923  | 0         | 0         | 0.025641  | 0.116279  | 0         | 0.025641  | 0.576271  | 0.0681818 | 0.0434783 | 0.0425532 | 0         | 0.4375    | 0.0181818 | 0.025641  | 0         | 0.333333  | 0         | 0.117647  | 0.1       | 0.288889  | 1         | 0.290909  | 0.282609  | 0.0769231 | 0         | 0.0188679 | 0.442308  | 0.025641  | 0.025641  | 0.0517241 | 0.025641  | 0         | 0.0212766 | 0.0625    | 0.0238095 | 0.0714286 | 0.698113  | 0.097561  | 0.387755  | 0.0952381 | 0.0545455 | 0.05      | 0.0222222 | 0.025641  | 0         | 0.0625    | 0.0526316 | 0.341463  | 0.0185185 | 0.15      | 0.333333  | 0.121951  | 0.209302  | 0.0217391 | 0         | 0.025641  | 0.166667  | 0.266667  | 0.212766  | 0.261905  | 0.0344828 | 0.12766   | 0         | 0.153846  | 0.255814  | 0.0232558 | 0.0222222 | 0.462687  | 0.0952381 | 0.170732  | 0.561404  | 0.44      | 0.0212766 | 0.116279  | 0.121951  | 0.0487805 | 0         | 0.05      | 0.025641  | 0.0930233 | 0.0714286 | 0.0714286 | 0.545455  | 0         | 0.025     | 0.0465116 | 0.380952  | 0.0204082 | 0.391304  | 0.0784314 | 0.177778  | 0.0243902 | 0.025641  | 0.025     | 0.0487805 | 0.454545  | 0.424658  | 0         | 0.170732  | 0.0512821 | 0.0416667 | 0.025641  | 0         | 0         | 0         | 0.025     | 0.226415  | 0         | 0         | 0         | 0         | 0.421053  | 0         | 0         | 0         | 0.195652  | 0         | 0.102564  | 0         | 0.666667  | 0.381818  | 0.362069  | 0         | 0.179487  | 0.0714286 | 0.075     | 0.025641  | 0.0238095 | 0.025641  | 0.0652174 | 0         | 0.23913   | 0.08      | 0         | 0.0212766 | 0.283333  | 0.354167  | 0.2       |
| F15D2 | 0.321429  | 0         | 0         | 0.356164  | 0.03125   | 0.382353  | 0.0769231 | 0.240741  | 0         | 0         | 0.3       | 0.353846  | 0.142857  | 0.171429  | 0.285714  | 0.412698  | 0.114286  | 0.142857  | 0.205128  | 0.151515  | 0.397059  | 0.307692  | 0.0487805 | 0.166667  | 0.192308  | 0.030303  | 0         | 0         | 0.0512821 | 0.166667  | 0         | 0.228571  | 0.0526316 | 0.025     | 0.2       | 0         | 0.349206  | 0.139535  | 0.03125   | 0.0909091 | 0.295455  | 0.03125   | 0.162791  | 0.121212  | 0.186047  | 0.290909  | 1         | 0.209302  | 0.0606061 | 0.0571429 | 0.175     | 0.214286  | 0.03125   | 0         | 0.2       | 0.03125   | 0.121212  | 0.025     | 0.0731707 | 0         | 0.0555556 | 0.296875  | 0.117647  | 0.326087  | 0.147059  | 0.186047  | 0.0606061 | 0.0833333 | 0         | 0         | 0.0731707 | 0.358974  | 0.170732  | 0.142857  | 0.0540541 | 0.23913   | 0.0833333 | 0.097561  | 0.0810811 | 0.0606061 | 0.03125   | 0.0243902 | 0.190476  | 0.111111  | 0.15      | 0.177778  | 0.0697674 | 0.0882353 | 0.117647  | 0.175     | 0.0277778 | 0.114286  | 0.358209  | 0.0540541 | 0.0512821 | 0.28125   | 0.203704  | 0.0789474 | 0.0789474 | 0.0263158 | 0.0285714 | 0.03125   | 0.0294118 | 0         | 0.176471  | 0.027027  | 0.0555556 | 0.338028  | 0.03125   | 0.030303  | 0.0857143 | 0.214286  | 0.0487805 | 0.390244  | 0.333333  | 0.15      | 0.0606061 | 0.03125   | 0.030303  | 0.0285714 | 0.369231  | 0.385714  | 0.03125   | 0.108108  | 0.030303  | 0.102564  | 0.03125   | 0.0625    | 0.147059  | 0.0625    | 0         | 0.26087   | 0.03125   | 0.0571429 | 0.03125   | 0.03125   | 0.422535  | 0.03125   | 0.03125   | 0.0285714 | 0.116279  | 0.0606061 | 0.0285714 | 0         | 0.296875  | 0.277778  | 0.384615  | 0.03125   | 0.0540541 | 0.027027  | 0.0588235 | 0         | 0.0285714 | 0         | 0         | 0.03125   | 0.190476  | 0.175     | 0.138889  | 0.138889  | 0.272727  | 0.16      | 0.146341  |
| F15E1 | 0.215686  | 0         | 0         | 0.26087   | 0         | 0.223881  | 0.0714286 | 0.0784314 | 0.05      | 0         | 0.215385  | 0.288136  | 0         | 0.0357143 | 0.2       | 0.327586  | 0         | 0.0285714 | 0.0606061 | 0         | 0.185714  | 0.0980392 | 0.192308  | 0.189189  | 0.162791  | 0         | 0         | 0         | 0.318182  | 0         | 0         | 0.254237  | 0.0769231 | 0.0357143 | 0.0714286 | 0         | 0.237288  | 0         | 0         | 0         | 0.363636  | 0         | 0.117647  | 0.0869565 | 0.181818  | 0.282609  | 0.209302  | 1         | 0.0454545 | 0.136364  | 0         | 0.272727  | 0.05      | 0         | 0.0243902 | 0         | 0         | 0         | 0.103448  | 0         | 0.0833333 | 0.365385  | 0.04      | 0.225     | 0.227273  | 0.0263158 | 0.0952381 | 0         | 0         | 0         | 0.0322581 | 0.0512821 | 0.0909091 | 0         | 0.08      | 0.184211  | 0         | 0.137931  | 0         | 0         | 0         | 0.111111  | 0.1875    | 0.151515  | 0.172414  | 0.0512821 | 0.030303  | 0         | 0.130435  | 0.346154  | 0         | 0         | 0.179104  | 0.125     | 0.115385  | 0.272727  | 0.325     | 0         | 0.115385  | 0.173913  | 0.142857  | 0         | 0.0454545 | 0.05      | 0.037037  | 0.181818  | 0.130435  | 0.296875  | 0         | 0.047619  | 0.238095  | 0.114286  | 0         | 0.323529  | 0.0588235 | 0.172414  | 0.0454545 | 0         | 0.047619  | 0.0434783 | 0.149254  | 0.25      | 0         | 0.0740741 | 0.047619  | 0.107143  | 0         | 0         | 0         | 0         | 0         | 0.352941  | 0         | 0         | 0         | 0         | 0.253521  | 0         | 0         | 0         | 0.0588235 | 0         | 0.0434783 | 0         | 0.339623  | 0.14      | 0.2       | 0.05      | 0.08      | 0.04      | 0         | 0         | 0         | 0         | 0.0714286 | 0.05      | 0.117647  | 0.0606061 | 0         | 0         | 0.183673  | 0.243243  | 0.129032  |
| F15E2 | 0.0465116 | 0         | 0         | 0.0447761 | 0.333333  | 0.031746  | 0.3       | 0.0857143 | 0         | 0         | 0.0333333 | 0.0535714 | 0         | 0         | 0         | 0.0526316 | 0.111111  | 0         | 0.125     | 0         | 0.03125   | 0.0540541 | 0         | 0.08      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0363636 | 0         | 0.0909091 | 0.0833333 | 0         | 0.037037  | 0         | 0         | 0         | 0         | 0         | 0.105263  | 0         | 0.047619  | 0.0769231 | 0.0606061 | 0.0454545 | 1         | 0         | 0         | 0.0263158 | 0         | 0         | 0         | 0         | 0         | 0.0909091 | 0.153846  | 0         | 0         | 0.0588235 | 0         | 0         | 0         | 0.047619  | 0         | 0         | 0         | 0         | 0         | 0.0909091 | 0         | 0.0555556 | 0         | 0.0769231 | 0.111111  | 0.230769  | 0         | 0         | 0         | 0.0833333 | 0.105263  | 0.166667  | 0.0625    | 0.0434783 | 0         | 0         | 0         | 0         | 0         | 0         | 0.0508475 | 0         | 0         | 0.0392157 | 0.0285714 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.03125   | 0         | 0         | 0         | 0         | 0         | 0         | 0.117647  | 0         | 0         | 0         | 0         | 0         | 0.0526316 | 0.0461538 | 0         | 0         | 0         | 0.0769231 | 0.333333  | 0         | 0         | 0         | 0.25      | 0.0357143 | 0         | 0         | 0         | 0         | 0.0434783 | 0         | 0         | 0         | 0         | 0         | 0.166667  | 0         | 0.0588235 | 0         | 0.0238095 | 0         | 0         | 0.125     | 0         | 0.333333  | 0         | 0.333333  | 0.0833333 | 0         | 0.05      | 0         | 0         | 0.0909091 | 0.0512821 | 0.0357143 | 0.0588235 |
| F15E4 | 0.0444444 | 0         | 0         | 0.0746269 | 0         | 0.0151515 | 0.0714286 | 0.0810811 | 0         | 0         | 0.0491803 | 0.0892857 | 0         | 0         | 0.0465116 | 0.0877193 | 0         | 0.05      | 0.0526316 | 0         | 0.0461538 | 0.0789474 | 0.0666667 | 0.115385  | 0.0294118 | 0         | 0         | 0         | 0.272727  | 0         | 0         | 0.0727273 | 0         | 0.166667  | 0         | 0         | 0.0357143 | 0.047619  | 0         | 0         | 0.0714286 | 0         | 0.15      | 0         | 0.0434783 | 0         | 0.0571429 | 0.136364  | 0         | 1         | 0         | 0.0512821 | 0         | 0         | 0         | 0         | 0         | 0.166667  | 0.214286  | 0         | 0.1       | 0.0980392 | 0         | 0.0967742 | 0.0909091 | 0.0434783 | 0.142857  | 0         | 0         | 0         | 0.133333  | 0         | 0         | 0.05      | 0         | 0         | 0         | 0.125     | 0         | 0         | 0         | 0.0714286 | 0.0952381 | 0.15      | 0.0555556 | 0.130435  | 0.0555556 | 0         | 0         | 0.0526316 | 0.111111  | 0         | 0.0666667 | 0         | 0         | 0.0377358 | 0.0555556 | 0         | 0         | 0.0909091 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0793651 | 0         | 0         | 0.1       | 0.0434783 | 0         | 0.0714286 | 0.05      | 0.1875    | 0         | 0         | 0         | 0         | 0.0508475 | 0.0769231 | 0         | 0         | 0         | 0.230769  | 0         | 0         | 0         | 0         | 0         | 0.148148  | 0         | 0         | 0         | 0         | 0.0724638 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0566038 | 0.0769231 | 0.0465116 | 0         | 0         | 0.1       | 0         | 0         | 0         | 0         | 0.153846  | 0         | 0         | 0         | 0         | 0         | 0.0238095 | 0.0333333 | 0.111111  |
| F15E5 | 0.163265  | 0         | 0         | 0.171429  | 0         | 0.222222  | 0.0869565 | 0.315789  | 0         | 0         | 0.121212  | 0.109375  | 0.15      | 0.142857  | 0.145833  | 0.16129   | 0.222222  | 0.291667  | 0.25      | 0.3125    | 0.21875   | 0.108696  | 0.04      | 0.258065  | 0.0714286 | 0.133333  | 0.0666667 | 0         | 0         | 0.315789  | 0         | 0.112903  | 0.210526  | 0.0909091 | 0.25      | 0.0666667 | 0.192982  | 0.454545  | 0         | 0.1875    | 0         | 0.0666667 | 0.222222  | 0         | 0.030303  | 0.0188679 | 0.175     | 0         | 0         | 0         | 1         | 0.0851064 | 0         | 0         | 0.681818  | 0         | 0.111111  | 0.0909091 | 0.08      | 0.1875    | 0         | 0.047619  | 0         | 0.0232558 | 0         | 0.307692  | 0         | 0.1       | 0         | 0         | 0.08      | 0.44      | 0.0689655 | 0.347826  | 0         | 0.0526316 | 0         | 0         | 0.277778  | 0.125     | 0         | 0         | 0.03125   | 0.03125   | 0         | 0.333333  | 0.115385  | 0.111111  | 0         | 0         | 0.0526316 | 0.222222  | 0.233333  | 0         | 0.0434783 | 0.12069   | 0         | 0.2       | 0         | 0         | 0         | 0.0666667 | 0.0588235 | 0         | 0.210526  | 0         | 0         | 0.130435  | 0.0666667 | 0.0625    | 0.05      | 0.030303  | 0.3       | 0         | 0.24      | 0         | 0.125     | 0         | 0         | 0         | 0.180328  | 0.19403   | 0.0666667 | 0         | 0         | 0.130435  | 0         | 0.133333  | 0.294118  | 0.133333  | 0         | 0.108108  | 0.0666667 | 0.176471  | 0.0666667 | 0.0666667 | 0.217391  | 0.0666667 | 0.0666667 | 0.266667  | 0.148148  | 0.2       | 0         | 0         | 0.0645161 | 0.130435  | 0.145833  | 0         | 0         | 0         | 0.0555556 | 0         | 0.117647  | 0         | 0.0416667 | 0         | 0.222222  | 0.304348  | 0.263158  | 0.142857  | 0.261905  | 0.025     | 0.0714286 |
| F15E7 | 0.21875   | 0         | 0.0277778 | 0.450704  | 0         | 0.462687  | 0.0697674 | 0.183333  | 0.0277778 | 0.0277778 | 0.41791   | 0.4375    | 0.0232558 | 0.0227273 | 0.461538  | 0.367647  | 0.075     | 0.181818  | 0.0408163 | 0         | 0.414286  | 0.2       | 0.175     | 0.276596  | 0.466667  | 0         | 0         | 0.0277778 | 0.184211  | 0         | 0.0277778 | 0.47541   | 0.1       | 0.097561  | 0.0222222 | 0         | 0.348485  | 0.0816327 | 0.0277778 | 0.025641  | 0.355556  | 0         | 0.173913  | 0.0789474 | 0.195652  | 0.442308  | 0.214286  | 0.272727  | 0.0263158 | 0.0512821 | 0.0851064 | 1         | 0         | 0.0277778 | 0.115385  | 0.0277778 | 0         | 0.097561  | 0.0909091 | 0.0810811 | 0.0243902 | 0.474576  | 0.105263  | 0.3       | 0.162162  | 0.1       | 0.0263158 | 0.0487805 | 0         | 0.0277778 | 0.0666667 | 0.0363636 | 0.181818  | 0.0833333 | 0.0487805 | 0.244898  | 0.102564  | 0.0888889 | 0.047619  | 0.0263158 | 0.0277778 | 0.15      | 0.08      | 0.102041  | 0.0869565 | 0.0961538 | 0.219512  | 0         | 0.135135  | 0.307692  | 0         | 0.0487805 | 0.357143  | 0.131579  | 0.0714286 | 0.535714  | 0.38      | 0.125     | 0.153846  | 0.075     | 0.0810811 | 0         | 0.0540541 | 0         | 0.0731707 | 0.135135  | 0.135135  | 0.5       | 0         | 0.027027  | 0.105263  | 0.25      | 0.146341  | 0.452381  | 0.0196078 | 0.162791  | 0.0263158 | 0.0277778 | 0         | 0.0526316 | 0.347826  | 0.383562  | 0         | 0.153846  | 0.027027  | 0.0217391 | 0         | 0         | 0.0238095 | 0         | 0.027027  | 0.215686  | 0         | 0.0789474 | 0         | 0         | 0.458333  | 0         | 0         | 0.025641  | 0.181818  | 0         | 0.025641  | 0.0277778 | 0.474576  | 0.431373  | 0.407407  | 0.0277778 | 0.131579  | 0.105263  | 0.0810811 | 0.0277778 | 0.025641  | 0.0277778 | 0.0454545 | 0.0277778 | 0.227273  | 0.159091  | 0         | 0.0227273 | 0.275862  | 0.409091  | 0.133333  |
| F15F1 | 0.0238095 | 0         | 0         | 0.0149254 | 0         | 0.016129  | 0         | 0         | 0         | 0         | 0.0169492 | 0.0178571 | 0         | 0         | 0.025     | 0.0175439 | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0185185 | 0         | 0         | 0         | 0         | 0.0188679 | 0         | 0         | 0         | 0.04      | 0         | 0.0555556 | 0         | 0.0526316 | 0.025641  | 0.03125   | 0.05      | 0         | 0         | 0         | 0         | 1         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0         | 0.0344828 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0625    | 0         | 0         | 0.04      | 0         | 0         | 0         | 0         | 0         | 0         | 0.0555556 | 0         | 0.0714286 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0169492 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.5       | 0         | 0.0175439 | 0.0153846 | 0         | 0.111111  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0144928 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0.027027  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0263158 | 0         | 0.0666667 |
| F15F3 | 0         | 0         | 0         | 0.0149254 | 0         | 0         | 0         | 0         | 0         | 0         | 0.0169492 | 0         | 0         | 0         | 0.025     | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0.0277778 | 0         | 0         | 0.0333333 | 0         | 0         | 0         | 0         | 0         | 0         | 0.0185185 | 0.125     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0526316 | 0.025641  | 0         | 0         | 0         | 0         | 0         | 0.0277778 | 0         | 1         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0         | 0.0344828 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.04      | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0169492 | 0         | 0         | 0.02      | 0.030303  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.111111  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0144928 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0.027027  | 0.025     | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0263158 | 0         | 0.0666667 |
| F15F5 | 0.185185  | 0         | 0.0454545 | 0.253521  | 0         | 0.3125    | 0.103448  | 0.425     | 0         | 0         | 0.191176  | 0.181818  | 0.2       | 0.192308  | 0.192308  | 0.215385  | 0.16      | 0.310345  | 0.233333  | 0.217391  | 0.328125  | 0.183673  | 0.0645161 | 0.243243  | 0.106383  | 0.0909091 | 0.0454545 | 0         | 0         | 0.333333  | 0         | 0.169231  | 0.153846  | 0.148148  | 0.230769  | 0.0454545 | 0.25      | 0.444444  | 0         | 0.130435  | 0         | 0.0454545 | 0.25      | 0         | 0.0789474 | 0.0517241 | 0.2       | 0.0243902 | 0         | 0         | 0.681818  | 0.115385  | 0         | 0         | 1         | 0         | 0.173913  | 0.107143  | 0.0967742 | 0.130435  | 0.037037  | 0.0895522 | 0         | 0.02      | 0.0357143 | 0.322581  | 0         | 0.16      | 0         | 0         | 0.172414  | 0.482759  | 0.0857143 | 0.310345  | 0.0357143 | 0.0681818 | 0         | 0.0606061 | 0.304348  | 0.136364  | 0         | 0.103448  | 0.0810811 | 0.111111  | 0.0588235 | 0.433333  | 0.125     | 0.173913  | 0         | 0         | 0.0384615 | 0.208333  | 0.285714  | 0.0357143 | 0.0333333 | 0.16129   | 0.0576923 | 0.192308  | 0.0333333 | 0         | 0         | 0.0454545 | 0.0416667 | 0         | 0.153846  | 0         | 0         | 0.197183  | 0.0454545 | 0.0434783 | 0.037037  | 0.025     | 0.269231  | 0         | 0.310345  | 0.0285714 | 0.0869565 | 0         | 0         | 0.0833333 | 0.253968  | 0.298507  | 0.0454545 | 0         | 0         | 0.137931  | 0         | 0.0909091 | 0.26087   | 0.0909091 | 0         | 0.170732  | 0.0454545 | 0.125     | 0.0454545 | 0.0454545 | 0.3       | 0.0454545 | 0.0454545 | 0.181818  | 0.151515  | 0.136364  | 0.04      | 0         | 0.123077  | 0.204082  | 0.169811  | 0         | 0         | 0.0769231 | 0.04      | 0         | 0.130435  | 0         | 0.103448  | 0         | 0.212121  | 0.37037   | 0.291667  | 0.148148  | 0.304348  | 0.0666667 | 0.0571429 |
| F15F6 | 0.0238095 | 0         | 0         | 0.0149254 | 0         | 0.016129  | 0         | 0         | 0         | 0         | 0.0169492 | 0.0178571 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0185185 | 0         | 0         | 0         | 0         | 0.0188679 | 0         | 1         | 0         | 0.04      | 0         | 0         | 0.2       | 0         | 0.025641  | 0.03125   | 0         | 0         | 0         | 0         | 0.0277778 | 0         | 0         | 0         | 1         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0         | 0.0344828 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.04      | 0.142857  | 0         | 0         | 0         | 1         | 0         | 0.0555556 | 0         | 0.0714286 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0169492 | 0         | 0         | 0.02      | 0.030303  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.015873  | 0         | 0         | 0         | 0.0526316 | 0         | 0.04      | 0         | 0.0714286 | 0         | 0         | 0         | 0         | 0.0175439 | 0.0153846 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0144928 | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0196078 | 0.027027  | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0         | 0.0555556 | 0         | 0         | 0         | 0.0263158 | 0         | 0         |
